video_name,text
mJ69KqzX3lU--35,This stamp has an area of 4 square centimeters.
S5iuebvtDu0--88,that the names of kings and queens were enclosed in a little frame.
4c422e10f21d-34,What is the colour of the tree?
6dvgNioTESo--83,The Procrete word for renowns is
yzP6HD0Zr3Y--112,The clouds stood guard between them and Saeeda's courtyard.
jXYcAvK7MTA--151,for men and women who are patient and constant.
ovYYEWMtW9M--173,"as is obvious from the name, these grey pots"
ICg_JsFuHVs_d,to explain something or make something clear
8cfebb40f2b9-18,It was just right. Curlylocks ate up.
7d42dce3e967-5,Do you like to wake up in the morning?
58131855adfb-34,The children should be introduced to more collective nouns. For example
d2e656de0bda-5,Could be a kite up in the sky.
VqlfNumk0cg--180,You have formed in the dictionary. one
VqlfNumk0cg--55,and participate in a successful mission in space.
9e2c92e2b0b0-87,Mohit and Suguna go to play. 4
e64b379cc5f8-71,Help the children repeat the pairs of words.
S5iuebvtDu0--52,2 0 1 2 Sometimes CE...
1-YUm865HA0--95,Vajji with its capital at Vaisali.
-Gf2SGGyb4Y_e1,"To the astonishment of her colleagues, she resigned."
43043aa04251-143,"In addition to sign language, the total communication method involves other modes of communication."
08f145493328-84,The sea is very very dash. Big
a2oGVqtgvwc_e1,The bus reaches Mumbai exactly in three hours.
S5iuebvtDu0--72,languages which were used as well as scripts.
A2VCUgPweiU--7,So as to lighten the load and save the ship from sinking.
3a6cfc943757-43,"Ah, here is my good cousin. Set the crab pleasantly."
yzP6HD0Zr3Y--88,Don't look unhappy. We'll be here at the fixed hour.
jDy4C7B8OwI--183,were important centers for the export of pepper and other spices. Find Poduca
g-MCCzbZUJ4_e3,Some people snickered at the very idea of her becoming a pilot.
6094ad90f864-77,Every step was 6 feet high.
Gfl5msAbkjk_e3,They failed to heed the lessons of history.
yzP6HD0Zr3Y--132,"She is fully recovered now, but she still follows the doctor's"
4c422e10f21d-37,Is there a tree growing near your house?
WX4SAl0w4fA_e3,He was embarrassed by many debts.
XVP5zcTXVtc--142,and wax to mauryan officials. The Emperor
ef52bca1a454-5,Let's read about the granny in this poem.
NwVF-WWZ0Bc--106,Molly used her measuring bottle to find the volume of 5 rupee coins.
d3617db9c8e0-65,The child grabbed me from the table and put my head into his mouth.
eabe1f38221a-34,to bend your head to show respect.
jDy4C7B8OwI--25,instructing his officials to read his message to those
MGRLpUCM6No_e2,Profits are shrivelling as the recession gets worse.
A2VCUgPweiU--118,"even the scavenger, even these men?"
fb456e054e47-77,Fill in the missing double letters.
O8V8kz6JcFs--139,How do desert animals survive without water?
f8fc65200887-125,"The rest of the class should guess the activity and say,"
SEKRNyZ9Sgg_e1,Spending twelve hours on a plane isn't a very attractive (= pleasant) prospect.
A2VCUgPweiU--41,Xuan Zang and other pilgrims spent time studying in Nalanda. Bihar.
c85ff6c14be3-8,I'm sorry to stare. She said
TOZ-mgzwrNg_d,someone who has committed a crime or done something wrong
fcwVXkPLpgU_e4,My one big regret is about money - I wish I'd been more shrewd.
IpRLdrFqxKk--237,What about the air between the gap?
cfa51960d936-13,A little monkey looked up at the elephant.
vekaTiI1qjw--40,although he rose to power and dignity.
62e79450f3da-16,Page number 106. Reading is fun.
6c91aaacea0a-62,This is how the game goes on.
4b41f9df012f-95,Small letter U trace along the dotted lines. Small letter V.
831fec5793da-41,I climb on a stool to find biscuits. Page
4c10721611b2-108,The postman brings us letters and parcels. Sometimes
yzP6HD0Zr3Y--33,and examined her and prescribed effective but costly medicine.
LjnS-cnPY0I--189,"There are other kinds of inscriptions as well, where men and women."
LjnS-cnPY0I--18,Let us see how it can be done.
7cd20394895c-53,trying to reach to the flower.
3b078f38c03b-12,"My house is nearby. I can go alone, sir."
iMlR4QLSWok--19,Uncle took me to the fair.
57cab2a92c69-40,"As the creeper grew, it began winding its way up the tree."
4c10721611b2-92,"As you can see, the picture of hair has been connected with the band."
f8fc65200887-65,and all for the want of a horseshoe nail.
b43a1342f8f5-94,because the soup they were given was never enough. 3
57cab2a92c69-42,A hunter came to the forest.
s8BUs77tQZ4--139,where he overcame the last of the Shakas.
kxz4AA9lNmY_e3,Accuse me of being a spoilsport and I will plead guilty.
XVP5zcTXVtc--159,The king is normally surrounded by armed women.
qpxHigzHK9U_e1,I was never given the opportunity of going to college.
6dvgNioTESo--13,at the end of which he attained
0726445c45f9-21,"After lunch, mother came and sat near Nina. What is it child?"
6dvgNioTESo--46,Genism was supported mainly by traders.
6c91aaacea0a-42,Draw a circle around each word.
8e2d24eb5abf-112,narrate the story to the class.
e90d992d5756-127,Help children fill in the circle.
d80b02f1b480-55,Shine a torch behind your hand and see its shadow on the wall.
uukiGvQ8CgQ--64,This system of counting was adapted by the Arabs.
9bxtIE0Tygg--117,"His wife, Sita, was abducted by the King of Lanka, named Rama."
LjnS-cnPY0I--62,This is a map of South Asia.
ovYYEWMtW9M--138,Rajas of Janapadas rather than janas
mXq8axygjdE--36,big brown bird on the tree under which he was sitting.
soTXzil_LzI--87,"then Algu announced, we have gone into the matter carefully. In our opinion,"
343da2e475d7-27,"Day by day, I float my paperboats."
Vbeiz94SyEI--139,People living along the route often demanded payments for allowing traders.
iuGT90_P4Qk--21,It is a closed shape. Mojini.
myIXH3PjvoI--23,Again we see the picture of a huge grid created by many squares.
s8BUs77tQZ4--197,We know about him from a Prasastri composed by his court poet Ravi Kirti.
9bc677ce073e-75,On the left side we have names.
a6301b463ff0-37,Who said these words in the story?
zoBP39jyRMs--169,This was made by pressing wet clay into a stymed mold.
Vbeiz94SyEI--106,The most important ruler of the Sath Vahanas was Gautamiputtra.
39b5990995ba-31,"The song, when the sun is shining, can be followed by..."
e64b379cc5f8-47,"Mohan makes pots, lamps, jugs and clay cups."
